REFERENCIA;ITEM;DESCRICAO;VALIDADE;DATA;PRECO1;PRECO2;PRECO3;PRECO4
8341;BLUSA;BL AIDE;VERAO 2015;03/09/2014;39,9;39,9;68,9;0
8343;CONJUNTO;CONJ ALAIDE;VERAO 2015;22/09/2014;109,9;125,9;189,9;0
8345;CONJUNTO;CONJ ALCINA;VERAO 2015;07/10/2014;119,9;137,9;206,9;0
8346;BLUSA;BL ALBA;VERAO 2015;04/09/2014;39,9;39,9;68,9;0
8347;MACACAO;MAC ALBERTA;VERAO 2015;25/09/2014;104,9;120,9;180,9;0
8349;CONJUNTO;CONJ ALCINA;VERAO 2015;07/10/2014;119,9;137,9;206,9;0
8350;VESTIDO;VE ALCIONE;VERAO 2015;23/09/2014;104,9;120,9;180,9;0
8351;BLUSA;BL ALDARA;VERAO 2015;10/09/2014;59,9;68,9;102,9;0
8352;BLUSA;BL ALDENIR;VERAO 2015;10/09/2014;59,9;68,9;102,9;0
8353;BLUSA;BL ALDENORA;VERAO 2015;10/09/2014;59,9;68,9;102,9;0
8354;VESTIDO;VE ALDINA;VERAO 2015;23/09/2014;104,9;120,9;180,9;0
8355;VESTIDO;VE ALDORA;VERAO 2015;03/10/2014;109,9;125,9;189,9;0
8356;BLUSA;BL ALEGRIA;VERAO 2015;07/10/2014;49,9;56,9;85,9;0
8357;BLUSA;BL ALEIXA;VERAO 2015;12/09/2014;59,9;68,9;102,9;0
8358;BLUSA;BL ALETA;VERAO 2015;13/10/2014;49,9;56,9;85,9;0
8359;VESTIDO;VE ALEXA;VERAO 2015;10/10/2014;104,9;120,9;180,9;0
8360;VESTIDO;VE ALEXANDRA;VERAO 2015;01/10/2014;149,9;171,9;258,9;0
8361;VESTIDO;VE ALEXIA;VERAO 2015;01/10/2014;109,9;125,9;189,9;0
8362;SAIA;SA ALEXINA;VERAO 2015;25/09/2014;39,9;49,9;71,9;0
8363;BLUSA;BL ALEXIS;VERAO 2015;03/10/2014;39,9;45,9;68,9;0
8364;VESTIDO;VE ALIANA;VERAO 2015;03/10/2014;104,9;120,9;180,9;0
8365;VESTIDO;VE ALFREDA;VERAO 2015;03/10/2014;104,9;120,9;180,9;0
8366;VESTIDO;VE ALIA;VERAO 2015;20/10/2014;149,9;171,9;258,9;0
8367;VESTIDO;VE ALICE;VERAO 2015;09/10/2014;109,9;125,9;180,9;0
8368;MACACAO;MAC ALICIA;VERAO 2015;10/10/2014;104,9;120,9;180,9;0
8369;BLUSA;BL ALIDA;VERAO 2015;07/10/2014;49,9;56,9;85,9;0
8370;MACACAO;MAC ALINA;VERAO 2015;13/10/2014;104,9;120,9;180,9;0
8371;SAIA;SA ALINE;VERAO 2015;13/10/2014;59,9;68,9;102,9;0
8372;VESTIDO;VE ALISANDE;VERAO 2015;10/10/2014;149,9;171,9;258,9;0
8373;VESTIDO;VE ALISON;VERAO 2015;10/10/2014;109,9;125,9;189,9;0
8374;VESTIDO;VE ALITA;VERAO 2015;30/10/2014;104,9;120,9;180,9;0
8375;MACACAO;MAC ALIX;VERAO 2015;17/11/2014;104,9;120,9;180,9;0
8376;MACACAO;MAC ALMA;VERAO 2015;21/10/2014;129,9;148,9;223,9;0
8377;VESTIDO;VE ALMARA;VERAO 2015;28/10/2014;104,9;120,9;180,9;0
8378;BLUSA;BL ALMERINDA;VERAO 2015;11/11/2014;49,9;56,9;85,9;0
8379;BLUSA;BL ALMESINDA;VERAO 2015;17/10/2014;49,9;56,9;85,9;0
8380;BLUSA;BL ALMIRA;VERAO 2015;30/10/2014;59,9;68,9;102,9;0
8381;BLUSA;BL ALTINA;VERAO 2015;29/10/2014;49,9;56,9;85,9;0
8382;BLUSA;BL ALVA;VERAO 2015;10/11/2014;49,9;56,9;85,9;0
8383;VESTIDO;VE ALVARINA;VERAO 2015;28/10/2014;109,9;125,9;189,9;0
8384;VESTIDO;VE AMANDA;VERAO 2015;31/10/2014;104,9;120,9;180,9;0
8385;VESTIDO;VE AMALIA;VERAO 2015;24/10/2014;104,9;120,9;180,9;0
8386;VESTIDO;VE AMANDA;VERAO 2015;21/10/2014;104,9;120,9;180,9;0
8387;BLUSA;BL AMAVEL;VERAO 2015;09/10/2014;49,9;56,9;84,9;0
8388;BLUSA;BL AMARILIS;VERAO 2015;09/10/2014;49,9;56,9;84,9;0
8389;BLUSA;BL AMARA;VERAO 2015;09/10/2014;49,9;56,9;84,9;0
8390;BLUSA;BL AMANDINA;VERAO 2015;09/10/2014;49,9;56,9;84,9;0
8391;VESTIDO;VE AMELIA;VERAO 2015;27/10/2014;104,9;120,9;180,9;0
8392;BLUSA;BL AMELINA;VERAO 2015;07/11/2014;49,9;56,9;85,9;0
8393;BLUSA;BL AMERICA;VERAO 2015;08/11/2014;59,9;68,9;102,9;0
8394;CONJUNTO;CONJ AMORA;VERAO 2015;10/10/2014;99,9;114,9;171,9;0
8395;BLUSA;BL AMORINA;VERAO 2015;28/11/2014;44,9;49,9;74,9;0
8396;VESTIDO;VE AMORZINDA;VERAO 2015;08/11/2014;109,9;125,9;189,9;0
8397;BLUSA;BL ANA;VERAO 2015;31/10/2014;49,9;56,9;85,9;0
8398;VESTIDO;VE ANABEL;VERAO 2015;08/11/2014;79,9;91,9;138,9;0
8399;VESTIDO;VE ANABELA;VERAO 2015;05/11/2014;99,9;114,9;171,9;0
8400;VESTIDO;VE ANAICE;VERAO 2015;07/11/2014;104,9;120,9;180,9;0
8401;VESTIDO;VE ANAIDE;VERAO 2015;14/11/2014;104,9;120,9;180,9;0
8402;VESTIDO;VE ANAIR;VERAO 2015;18/11/2014;104,9;120,9;180,9;0
8403;SAIA;SA ANAIS;VERAO 2015;19/12/2014;59,9;68,9;102,9;0
8404;SAIA;SA ANAISA;INVERNO 2015;03/02/2015;39,9;45,9;68,9;0
8405;BLUSA;BL ANALDINA;VERAO 2015;26/11/2014;49,9;56,9;85,9;0
8406;VESTIDO;VE ANALIA;VERAO 2015;13/11/2014;109,9;125,9;189,9;0
8407;SAIA;SA ANALICE;VERAO 2015;21/11/2014;59,9;68,9;102,9;0
8408;BLUSA;BL ANALISA;VERAO 2015;21/11/2014;49,9;56,9;85,9;0
8409;BLUSA;BL ANAMAR;VERAO 2015;21/11/2014;49,9;56,9;85,9;0
8410;CAMISA;CAM ANATILDE;VERAO 2015;04/12/2014;69,9;79,9;119,9;0
8411;BLUSA;BL ANDREA;VERAO 2015;26/11/2014;49,9;56,9;85,9;0
8412;VESTIDO;VE ANDREINA;VERAO 2015;18/11/2014;104,9;120,9;180,9;0
8414;CONJUNTO;CONJ ANDRESSA;VERAO 2015;28/11/2014;99,9;114,9;171,9;0
8415;VESTIDO;VE ANDRIA;VERAO 2015;18/11/2014;104,9;120,9;180,9;0
8416;VESTIDO;VE ANESIA;VERAO 2015;09/12/2014;99,9;114,9;171,9;0
8417;BERMUDA;BER ANGELA;VERAO 2015;01/12/2014;41,9;47,9;71,9;41,9
8418;VESTIDO;VE ANGELICA;INVERNO 2015;20/01/2015;74,9;84,9;127,9;0
8419;BLUSA;BL ANGELINA;INVERNO 2015;06/01/2015;49,9;56,9;85,9;0
8420;BLUSA;BL  ANGELITA;VERAO 2015;27/11/2014;49,9;56,9;85,9;0
8421;BLUSA;BL ANIA;VERAO 2015;12/12/2014;49,9;56,9;85,9;0
8422;BLUSA;BL ANIANA;VERAO 2015;12/12/2014;49,9;56,9;85,9;0
8423;BLUSA;BL ANICIA;VERAO 2015;05/12/2014;39,9;45,9;68,9;0
8424;MACACAO;MAC ANIRIA;VERAO 2015;04/12/2014;109,9;125,9;189,9;0
8425;SAIA;SA ANISIA;VERAO 2015;01/12/2014;69,9;79,9;119,9;0
8426;BLUSA;BL ANTONIA;INVERNO 2015;06/01/2015;49,9;56,9;85,9;0
8427;BLUSA;BL ANTONIETA;VERAO 2015;12/12/2014;49,9;56,9;85,9;0
87275;VESTIDO;VE CARLOTA;VERAO 2016;09/04/2015;149,9;171,9;258,9;104,9
9000;CONJUNTO;CONJ ANASTACIA;INVERNO 2015;28/01/2005;129,9;148,9;223,9;0
9001;MACACAO;MAC ANITA;INVERNO 2015;27/01/2015;119,9;137,9;206,9;0
9002;VESTIDO;VE ANQUITA;INVERNO 2015;26/01/2005;109,9;125,9;189,9;0
9003;VESTIDO;VE ANTEIA;INVERNO 2011;28/01/2005;99,9;114,9;171,9;0
9004;VESTIDO;VE ANTERA;INVERNO 2015;26/01/2005;109,9;125,9;189,9;0
9005;MACACAO;MAC ANTONELA;INVERNO 2015;13/02/2015;84,9;96,9;144,9;0
9006;BLUSA;BL ANTONINA;INVERNO 2015;15/01/2015;59,9;68,9;102,9;0
9007;VESTIDO;VE ANUNCIACAO;INVERNO2015;26/01/2005;119,9;137,9;206,9;0
9010;CONJUNTO;CONJ ANUSCA;INVERNO 2015;26/01/2005;149,9;171,9;258,9;0
9011;VESTIDO;VE APARECIDA;INVERNO 2015;26/01/2005;149,9;171,9;258,9;0
9012;VESTIDO;VE APOLONIA;INVERNO 2015;26/01/2005;104,9;119,9;179,9;0
9013;VESTIDO;VE ARABELA;INVERNO 2015;29/01/2015;74,9;84,9;127,9;0
9014;VESTIDO;VE ARACI;INVERNO 2015;26/01/2005;104,9;119,9;179,9;0
9015;SAIA;SA ARADNA;INVERNO 2015;29/01/2015;39,9;45,9;68,9;0
9016;CAMISA;CAM ARIA;INVERNO 2015;20/04/2015;55,9;64,9;96,9;55,9
9017;CALCA;CAL ARIADNA;INVERNO 2015;20/04/2015;55,9;64,9;96,9;55,9
9018;BLUSA;BL ARIANA;INVERNO 2015;20/01/2015;49,9;56,9;85,9;0
9019;BLUSA;BL ARIANE;INVERNO 2015;20/02/2015;49,9;56,9;85,9;0
9020;BLUSA;BL ARIELE;INVERNO 2015;27/02/2015;49,9;56,9;85,9;0
9021;CONJUNTO;CONJ ARIADNE;INVERNO 2015;02/02/2015;149,9;171,9;258,9;0
9022;VESTIDO;VE ARINDA;INVERNO 2015;20/01/2015;99,9;114,9;171,9;0
